date,open,high,low,close,volume,marketcap,BCHAIN-DIFF,BCHAIN-AVBLS,BCHAIN-MIREV,BCHAIN-CPTRA,BCHAIN-NTRAN,BCHAIN-HRATE,BCHAIN-CPT,BCHAIN-NTRBL
13/2/19,3653.6,3669.75,3617.25,3632.07,6438903823,63694394519,6.06E+12,1.304964063,5923015.944,21.81003245,271573,38568926.14,21.81003245,2121.664063
12/2/19,3642.75,3668.59,3618.56,3653.53,6480384532,64063755250,6.06E+12,1.09110111,6672121.867,21.1327005,315725,43691361.64,21.1327005,2177.413793
11/2/19,3695.61,3695.61,3642.29,3648.43,6277056434,63968390250,5.89E+12,0.899240979,6428885.586,21.45758501,299609,42184762.96,21.45758501,2140.064286
10/2/19,3673.2,3695.04,3640.98,3690.19,6282256903,64694025951,5.81E+12,0.934364993,6912733.277,22.23515972,310892,43357261.9,22.23515972,2072.613333
9/2/19,3671.59,3679.94,3646.56,3671.2,6158833645,64354732475,5.81E+12,0.984610681,7202107.441,21.48087402,335280,47114891.26,21.48087402,2056.932515
8/2/19,3401.38,3695.61,3391.02,3666.78,7735623101,64270269953,5.81E+12,0.942216902,7460609.226,21.13211657,353046,50294423.8,21.13211657,2029
7/2/19,3414.93,3427.95,3394.22,3399.47,5004962683,59578075991,5.81E+12,1.050370409,7058219.098,20.1896449,349596,47403939.67,20.1896449,2131.682927
6/2/19,3469.09,3469.09,3398.57,3413.77,5482196038,59821158612,5.81E+12,1.051188286,6414894.471,18.11763942,354069,42490116.66,18.11763942,2408.632653
5/2/19,3454.95,3478.15,3451.94,3466.36,5227549545,60735563490,5.81E+12,1.012398531,6402647.087,19.09596254,335288,42490116.66,19.09596254,2280.870748
4/2/19,3467.21,3476.22,3442.59,3459.15,5332718886,60603083461,5.81E+12,0.93550021,6033960.118,20.1017424,300171,39888680.94,20.1017424,2175.152174
3/2/19,3516.14,3521.39,3447.92,3464.01,5043937584,60681847608,5.81E+12,0.981337799,6311817.859,19.59997099,322032,41622971.42,19.59997099,2236.333333
2/2/19,3484.63,3523.29,3467.57,3521.06,5071623601,61675119055,5.81E+12,1.024592437,6936405.399,20.44081145,339341,45669649.2,20.44081145,2147.727848
1/2/19,3460.55,3501.95,3431.59,3487.95,5422926707,61088747491,5.81E+12,1.015420213,6792433.643,19.19064726,353945,44802503.96,19.19064726,2283.516129
31/1/19,3485.41,3504.8,3447.92,3457.79,5831198271,60553903927,5.81E+12,1.074707971,5942047.796,18.45471084,321980,39310584.12,18.45471084,2367.5
30/1/19,3443.9,3495.17,3429.39,3486.18,5955112627,61044262622,5.81E+12,1.010222788,6315437.437,19.36288543,326162,42201068.25,19.36288543,2233.986301
29/1/19,3468.87,3476.07,3400.82,3448.12,5897159493,60371874099,5.84E+12,1.022644421,6351303.838,20.61696619,308062,41912019.83,20.61696619,2124.565517
28/1/19,3584.28,3586.75,3439.23,3470.45,6908930483,60756570314,5.88E+12,0.881242818,6166550.146,22.28999767,276651,40071767.24,22.28999767,2019.350365
27/1/19,3604.69,3612.67,3567.25,3583.97,5570752966,62737274093,5.88E+12,0.98073546,6801219.282,23.59199848,288285,43874197.71,23.59199848,1921.9
26/1/19,3599.72,3654.93,3593.35,3602.46,5098183235,63054898963,5.88E+12,1.017360051,6251655.277,20.76375534,301085,40364261.89,20.76375534,2181.775362
25/1/19,3607.39,3612.93,3575.6,3599.77,5265847539,63000985908,5.88E+12,0.911348741,7305789.432,23.70885694,308146,47384133.53,23.70885694,1902.135802
24/1/19,3584.5,3616.09,3569.09,3600.87,5262869046,63014066012,5.88E+12,1.026111377,6614477.63,22.53701142,293494,42704219.1,22.53701142,2010.232877
23/1/19,3605.56,3623.07,3565.31,3585.12,5433755649,62731361272,5.88E+12,1.055254915,5857634.586,19.78663217,296040,38024304.68,19.78663217,2277.230769
